MOI,Time,Cell.line,Replicate,Cells
5,3,E484K/R685S,1,5152.513
5,4,E484K/R685S,1,5537.669
5,5,E484K/R685S,1,5628.433
5,6,E484K/R685S,1,5626.618
5,7,E484K/R685S,1,4762.836
5,8,E484K/R685S,1,4281.81
5,9,E484K/R685S,1,5156.423
5,10,E484K/R685S,1,5031.865
5,11,E484K/R685S,1,5493.854
5,12,E484K/R685S,1,5288.298
5,13,E484K/R685S,1,4336.271
5,14,E484K/R685S,1,5275.743
5,15,E484K/R685S,1,4574.583
5,16,E484K/R685S,1,4612.382
5,17,E484K/R685S,1,4925.403
5,18,E484K/R685S,1,4514.395
5,19,E484K/R685S,1,4231.045
5,20,E484K/R685S,1,4238.402
5,21,E484K/R685S,1,3676.724
5,22,E484K/R685S,1,3867.54
5,23,E484K/R685S,1,4262.598
5,24,E484K/R685S,1,4046.291
5,25,E484K/R685S,1,4119.777
5,26,E484K/R685S,1,4527.787
5,27,E484K/R685S,1,4883.745
5,28,E484K/R685S,1,4713.867
5,29,E484K/R685S,1,4603.524
5,30,E484K/R685S,1,4830.478
5,31,E484K/R685S,1,4411.954
5,32,E484K/R685S,1,4878.971
5,33,E484K/R685S,1,5129.853
5,34,E484K/R685S,1,5075.26
5,35,E484K/R685S,1,4931.896
5,36,E484K/R685S,1,4791.964
5,37,E484K/R685S,1,4899.223
5,38,E484K/R685S,1,5181.664
5,39,E484K/R685S,1,5386.579
5,40,E484K/R685S,1,5881.103
5,41,E484K/R685S,1,6343.354
5,42,E484K/R685S,1,6817.277
5,43,E484K/R685S,1,7508.819
5,44,E484K/R685S,1,8105.039
5,45,E484K/R685S,1,8256.934
5,46,E484K/R685S,1,8165.174
5,47,E484K/R685S,1,9193.45
5,48,E484K/R685S,1,10698.48
5,49,E484K/R685S,1,9867.104
5,50,E484K/R685S,1,10469.51
5,51,E484K/R685S,1,10939.85
5,52,E484K/R685S,1,12214.57
5,53,E484K/R685S,1,12741.02
5,54,E484K/R685S,1,14004.37
5,55,E484K/R685S,1,15105.27
5,56,E484K/R685S,1,15015.82
5,57,E484K/R685S,1,16658
5,58,E484K/R685S,1,17541.76
5,59,E484K/R685S,1,18568.7
5,60,E484K/R685S,1,18642.91
5,61,E484K/R685S,1,19395.62
5,62,E484K/R685S,1,21067.74
5,63,E484K/R685S,1,21996.56
5,64,E484K/R685S,1,22909.95
5,65,E484K/R685S,1,23412.13
5,66,E484K/R685S,1,24762.86
5,67,E484K/R685S,1,25683.3
5,68,E484K/R685S,1,26196.43
5,69,E484K/R685S,1,27216.45
5,70,E484K/R685S,1,27387.05
5,71,E484K/R685S,1,28910.22
5,72,E484K/R685S,1,30750.27
5,73,E484K/R685S,1,31450.34
5,74,E484K/R685S,1,31152.98
5,75,E484K/R685S,1,32142.83
5,76,E484K/R685S,1,33082.84
5,77,E484K/R685S,1,33585.84
5,78,E484K/R685S,1,32831.54
5,79,E484K/R685S,1,33898.32
5,80,E484K/R685S,1,34630.6
5,81,E484K/R685S,1,36656.14
5,82,E484K/R685S,1,38567.63
5,83,E484K/R685S,1,39620.54
5,84,E484K/R685S,1,39713.35
5,85,E484K/R685S,1,41881.19
5,86,E484K/R685S,1,42882.67
5,87,E484K/R685S,1,44665.49
5,88,E484K/R685S,1,46114.37
5,89,E484K/R685S,1,47571.36
5,90,E484K/R685S,1,48811.38
5,91,E484K/R685S,1,49424.84
5,92,E484K/R685S,1,51295.58
5,93,E484K/R685S,1,53241.98
5,94,E484K/R685S,1,53418.69
5,95,E484K/R685S,1,63431.2
5,96,E484K/R685S,1,58086.13
5,97,E484K/R685S,1,57576.35
5,0,E484K/R685S,2,9395.224
5,1,E484K/R685S,2,5920.683
5,2,E484K/R685S,2,5495.459
5,3,E484K/R685S,2,5586.877
5,4,E484K/R685S,2,5282.327
5,5,E484K/R685S,2,6042.408
5,6,E484K/R685S,2,6051.491
5,7,E484K/R685S,2,5213.429
5,8,E484K/R685S,2,4680.75
5,9,E484K/R685S,2,5219.392
5,10,E484K/R685S,2,4926.599
5,11,E484K/R685S,2,5355.646
5,12,E484K/R685S,2,4862.873
5,13,E484K/R685S,2,5172.651
5,14,E484K/R685S,2,4561.794
5,15,E484K/R685S,2,4841.275
5,16,E484K/R685S,2,4081.638
5,17,E484K/R685S,2,4110.615
5,18,E484K/R685S,2,4507.58
5,19,E484K/R685S,2,4003.302
5,20,E484K/R685S,2,4326.346
5,21,E484K/R685S,2,3855.198
5,22,E484K/R685S,2,3892.253
5,23,E484K/R685S,2,4925.212
5,24,E484K/R685S,2,4538.079
5,25,E484K/R685S,2,4813.564
5,26,E484K/R685S,2,4972.735
5,27,E484K/R685S,2,4980.537
5,28,E484K/R685S,2,5154.189
5,29,E484K/R685S,2,5221.963
5,30,E484K/R685S,2,5283.495
5,31,E484K/R685S,2,5120.765
5,32,E484K/R685S,2,5268.14
5,33,E484K/R685S,2,5505.747
5,34,E484K/R685S,2,6852.782
5,35,E484K/R685S,2,5993.591
5,36,E484K/R685S,2,7163.837
5,37,E484K/R685S,2,7192.929
5,38,E484K/R685S,2,7683.083
5,39,E484K/R685S,2,6984.397
5,40,E484K/R685S,2,8685.326
5,41,E484K/R685S,2,8755.91
5,42,E484K/R685S,2,10055.28
5,43,E484K/R685S,2,9397.8
5,44,E484K/R685S,2,10491.47
5,45,E484K/R685S,2,10712.65
5,46,E484K/R685S,2,10705.69
5,47,E484K/R685S,2,11489.31
5,48,E484K/R685S,2,13297.84
5,49,E484K/R685S,2,11720.1
5,50,E484K/R685S,2,13212.7
5,51,E484K/R685S,2,14353.21
5,52,E484K/R685S,2,14730.52
5,53,E484K/R685S,2,15886.95
5,54,E484K/R685S,2,18077.91
5,55,E484K/R685S,2,18637.13
5,56,E484K/R685S,2,18634.08
5,57,E484K/R685S,2,20384.74
5,58,E484K/R685S,2,20748.38
5,59,E484K/R685S,2,22188.1
5,60,E484K/R685S,2,23117.13
5,61,E484K/R685S,2,23851.73
5,62,E484K/R685S,2,25047.88
5,63,E484K/R685S,2,28157.36
5,64,E484K/R685S,2,29326.18
5,65,E484K/R685S,2,31109.61
5,66,E484K/R685S,2,32342.52
5,67,E484K/R685S,2,32767.4
5,68,E484K/R685S,2,33427.78
5,69,E484K/R685S,2,33159.37
5,70,E484K/R685S,2,34850.15
5,71,E484K/R685S,2,36865.45
5,72,E484K/R685S,2,37378.82
5,73,E484K/R685S,2,39141.58
5,74,E484K/R685S,2,37700
5,75,E484K/R685S,2,38275.83
5,76,E484K/R685S,2,40114.83
5,77,E484K/R685S,2,39305.15
5,78,E484K/R685S,2,40066.73
5,79,E484K/R685S,2,42212.74
5,80,E484K/R685S,2,43074.46
5,81,E484K/R685S,2,45377.9
5,82,E484K/R685S,2,47497.68
5,83,E484K/R685S,2,49005.91
5,84,E484K/R685S,2,51753.11
5,85,E484K/R685S,2,52598.67
5,86,E484K/R685S,2,52572.48
5,87,E484K/R685S,2,56109.75
5,88,E484K/R685S,2,55734.88
5,89,E484K/R685S,2,57293.31
5,90,E484K/R685S,2,58950.21
5,91,E484K/R685S,2,60563.45
5,92,E484K/R685S,2,63321.3
5,93,E484K/R685S,2,65905.17
5,94,E484K/R685S,2,68743.23
5,95,E484K/R685S,2,78107.88
5,96,E484K/R685S,2,68749.67
5,97,E484K/R685S,2,71314.03
5,0,E484K/R685S,3,5490.682
5,1,E484K/R685S,3,4214.349
5,2,E484K/R685S,3,3057.811
5,3,E484K/R685S,3,3613.222
5,4,E484K/R685S,3,3571.774
5,5,E484K/R685S,3,4468.859
5,6,E484K/R685S,3,4953.379
5,7,E484K/R685S,3,5356.059
5,8,E484K/R685S,3,4298.828
5,9,E484K/R685S,3,5144.106
5,10,E484K/R685S,3,4271.959
5,11,E484K/R685S,3,4589.07
5,12,E484K/R685S,3,4868.62
5,13,E484K/R685S,3,4830.896
5,14,E484K/R685S,3,5241.386
5,15,E484K/R685S,3,4956.561
5,16,E484K/R685S,3,5427.131
5,17,E484K/R685S,3,5005.142
5,18,E484K/R685S,3,4886.094
5,19,E484K/R685S,3,4695.125
5,20,E484K/R685S,3,4191.746
5,21,E484K/R685S,3,4738.767
5,22,E484K/R685S,3,3935.55
5,23,E484K/R685S,3,4034.365
5,24,E484K/R685S,3,4620.331
5,25,E484K/R685S,3,3568.971
5,26,E484K/R685S,3,5285.545
5,27,E484K/R685S,3,5356.507
5,28,E484K/R685S,3,5377.461
5,29,E484K/R685S,3,5734.045
5,30,E484K/R685S,3,6024.197
5,31,E484K/R685S,3,5689.151
5,32,E484K/R685S,3,6270.304
5,33,E484K/R685S,3,6266.806
5,34,E484K/R685S,3,6757.836
5,35,E484K/R685S,3,5406.28
5,36,E484K/R685S,3,5435.96
5,37,E484K/R685S,3,6010.995
5,38,E484K/R685S,3,8023.538
5,39,E484K/R685S,3,7883.292
5,40,E484K/R685S,3,8641.031
5,41,E484K/R685S,3,9554.25
5,42,E484K/R685S,3,10920.72
5,43,E484K/R685S,3,10874.29
5,44,E484K/R685S,3,9981.826
5,45,E484K/R685S,3,10386.24
5,46,E484K/R685S,3,10370.35
5,47,E484K/R685S,3,11258.17
5,48,E484K/R685S,3,11858.54
5,49,E484K/R685S,3,11538.98
5,50,E484K/R685S,3,11427.39
5,51,E484K/R685S,3,12170.69
5,52,E484K/R685S,3,12490.82
5,53,E484K/R685S,3,13496.5
5,54,E484K/R685S,3,13829.35
5,55,E484K/R685S,3,14058.11
5,56,E484K/R685S,3,13772.31
5,57,E484K/R685S,3,14672.08
5,58,E484K/R685S,3,14823.01
5,59,E484K/R685S,3,16499.03
5,60,E484K/R685S,3,16690.61
5,61,E484K/R685S,3,17376.97
5,62,E484K/R685S,3,19039
5,63,E484K/R685S,3,19883.01
5,64,E484K/R685S,3,21297.56
5,65,E484K/R685S,3,22044.3
5,66,E484K/R685S,3,22586.52
5,67,E484K/R685S,3,23052.28
5,68,E484K/R685S,3,23568.66
5,69,E484K/R685S,3,24799.33
5,70,E484K/R685S,3,25199.81
5,71,E484K/R685S,3,26672.07
5,72,E484K/R685S,3,27401.88
5,73,E484K/R685S,3,28666.96
5,74,E484K/R685S,3,30324.43
5,75,E484K/R685S,3,32326.28
5,76,E484K/R685S,3,32034.22
5,77,E484K/R685S,3,34113.7
5,78,E484K/R685S,3,34889.09
5,79,E484K/R685S,3,35002.04
5,80,E484K/R685S,3,37084.27
5,81,E484K/R685S,3,38897.11
5,82,E484K/R685S,3,40794.3
5,83,E484K/R685S,3,42020.68
5,84,E484K/R685S,3,44018.16
5,85,E484K/R685S,3,46032.87
5,86,E484K/R685S,3,47941.68
5,87,E484K/R685S,3,49828.98
5,88,E484K/R685S,3,51554
