MOI,Time,Cells,Replicate,Cell.line
0.05,40,138.9944,2,Vero E6
0.05,41,142.5386,2,Vero E6
0.05,42,145.2261,2,Vero E6
0.05,43,146.2203,2,Vero E6
0.05,44,150.3118,2,Vero E6
0.05,45,153.2778,2,Vero E6
0.05,46,157.3785,2,Vero E6
0.05,47,159.8781,2,Vero E6
0.05,48,163.7346,2,Vero E6
0.05,0,0,3,Vero E6
0.05,1,0,3,Vero E6
0.05,2,0,3,Vero E6
0.05,3,0,3,Vero E6
0.05,4,0.03737414,3,Vero E6
0.05,5,0.928195,3,Vero E6
0.05,6,2.750911,3,Vero E6
0.05,7,4.999091,3,Vero E6
0.05,8,7.36489,3,Vero E6
0.05,9,10.69268,3,Vero E6
0.05,10,13.58656,3,Vero E6
0.05,11,16.73647,3,Vero E6
0.05,12,20.654,3,Vero E6
0.05,13,23.99487,3,Vero E6
0.05,14,27.40197,3,Vero E6
0.05,15,31.02068,3,Vero E6
0.05,16,35.09227,3,Vero E6
0.05,17,37.90923,3,Vero E6
0.05,18,40.12992,3,Vero E6
0.05,19,44.34171,3,Vero E6
0.05,20,45.71389,3,Vero E6
0.05,21,46.73542,3,Vero E6
0.05,22,49.86362,3,Vero E6
0.05,23,52.52639,3,Vero E6
0.05,24,56.29959,3,Vero E6
0.05,25,58.55781,3,Vero E6
0.05,26,62.41005,3,Vero E6
0.05,27,68.63366,3,Vero E6
0.05,28,80.7178,3,Vero E6
0.05,29,93.8891,3,Vero E6
0.05,30,102.1417,3,Vero E6
0.05,31,116.1836,3,Vero E6
0.05,32,123.7549,3,Vero E6
0.05,33,131.826,3,Vero E6
0.05,34,136.4478,3,Vero E6
0.05,35,137.5378,3,Vero E6
0.05,36,139.6102,3,Vero E6
0.05,37,140.7004,3,Vero E6
0.05,38,141.729,3,Vero E6
0.05,39,140.5993,3,Vero E6
0.05,40,142.0007,3,Vero E6
0.05,41,141.6919,3,Vero E6
0.05,42,144.0809,3,Vero E6
0.05,43,146.2342,3,Vero E6
0.05,44,149.6348,3,Vero E6
0.05,45,149.9723,3,Vero E6
0.05,46,151.2601,3,Vero E6
0.05,47,158.8814,3,Vero E6
0.05,48,162.8637,3,Vero E6
0.1,0,0,1,Vero E6
0.1,1,0,1,Vero E6
0.1,2,0,1,Vero E6
0.1,3,0,1,Vero E6
0.1,4,0.2498345,1,Vero E6
0.1,5,3.455003,1,Vero E6
0.1,6,8.786756,1,Vero E6
0.1,7,14.99161,1,Vero E6
0.1,8,21.42994,1,Vero E6
0.1,9,27.61345,1,Vero E6
0.1,10,33.37404,1,Vero E6
0.1,11,38.9006,1,Vero E6
0.1,12,44.57676,1,Vero E6
0.1,13,48.75475,1,Vero E6
0.1,14,52.01646,1,Vero E6
0.1,15,54.38379,1,Vero E6
0.1,16,57.03981,1,Vero E6
0.1,17,59.67235,1,Vero E6
0.1,18,62.0794,1,Vero E6
0.1,19,63.93747,1,Vero E6
0.1,20,67.15409,1,Vero E6
0.1,21,72.01971,1,Vero E6
0.1,22,76.48269,1,Vero E6
0.1,23,81.90869,1,Vero E6
0.1,24,92.35028,1,Vero E6
0.1,25,101.2397,1,Vero E6
0.1,26,110.6726,1,Vero E6
0.1,27,118.7588,1,Vero E6
0.1,28,126.3346,1,Vero E6
0.1,29,125.9408,1,Vero E6
0.1,30,130.9058,1,Vero E6
0.1,31,132.9868,1,Vero E6
0.1,32,136.6738,1,Vero E6
0.1,33,138.855,1,Vero E6
0.1,34,140.104,1,Vero E6
0.1,35,138.3051,1,Vero E6
0.1,36,141.9246,1,Vero E6
0.1,37,143.1001,1,Vero E6
0.1,38,145.8703,1,Vero E6
0.1,39,149.4599,1,Vero E6
0.1,40,155.5983,1,Vero E6
0.1,41,156.5828,1,Vero E6
0.1,42,161.4146,1,Vero E6
0.1,43,163.2897,1,Vero E6
0.1,44,170.4353,1,Vero E6
0.1,45,179.8629,1,Vero E6
0.1,46,188.5711,1,Vero E6
0.1,47,195.0862,1,Vero E6
0.1,48,214.1193,1,Vero E6
0.1,0,0.0127914,2,Vero E6
0.1,1,0,2,Vero E6
0.1,2,0.01218435,2,Vero E6
0.1,3,0,2,Vero E6
0.1,4,0.3803181,2,Vero E6
0.1,5,3.414784,2,Vero E6
0.1,6,8.591941,2,Vero E6
0.1,7,14.20339,2,Vero E6
0.1,8,19.75964,2,Vero E6
0.1,9,25.40752,2,Vero E6
0.1,10,31.50548,2,Vero E6
0.1,11,37.12705,2,Vero E6
0.1,12,42.98729,2,Vero E6
0.1,13,47.42454,2,Vero E6
0.1,14,51.2092,2,Vero E6
0.1,15,54.61261,2,Vero E6
0.1,16,56.43161,2,Vero E6
0.1,17,58.4056,2,Vero E6
0.1,18,60.82857,2,Vero E6
0.1,19,64.00369,2,Vero E6
0.1,20,67.21256,2,Vero E6
0.1,21,71.44268,2,Vero E6
0.1,22,75.29723,2,Vero E6
0.1,23,80.39088,2,Vero E6
0.1,24,88.31264,2,Vero E6
0.1,25,94.96922,2,Vero E6
0.1,26,104.5813,2,Vero E6
0.1,27,115.3876,2,Vero E6
0.1,28,125.0714,2,Vero E6
0.1,29,130.8833,2,Vero E6
0.1,30,136.7514,2,Vero E6
0.1,31,137.6371,2,Vero E6
0.1,32,138.2188,2,Vero E6
0.1,33,138.2937,2,Vero E6
0.1,34,137.7971,2,Vero E6
0.1,35,139.5494,2,Vero E6
0.1,36,142.1007,2,Vero E6
0.1,37,142.6367,2,Vero E6
0.1,38,144.9939,2,Vero E6
0.1,39,144.0604,2,Vero E6
0.1,40,149.5665,2,Vero E6
0.1,41,156.2799,2,Vero E6
0.1,42,162.2886,2,Vero E6
0.1,43,165.2381,2,Vero E6
0.1,44,175.1192,2,Vero E6
0.1,45,182.5368,2,Vero E6
0.1,46,189.2015,2,Vero E6
0.1,47,202.1749,2,Vero E6
0.1,48,210.3306,2,Vero E6
0.1,0,0.009911294,3,Vero E6
0.1,1,0.05957085,3,Vero E6
0.1,2,0.1056638,3,Vero E6
0.1,3,0.1629227,3,Vero E6
0.1,4,0.4184588,3,Vero E6
0.1,5,3.370956,3,Vero E6
0.1,6,8.897072,3,Vero E6
0.1,7,14.79054,3,Vero E6
0.1,8,20.60938,3,Vero E6
0.1,9,26.74476,3,Vero E6
0.1,10,31.91278,3,Vero E6
0.1,11,38.23833,3,Vero E6
0.1,12,43.47639,3,Vero E6
0.1,13,47.50312,3,Vero E6
0.1,14,49.94265,3,Vero E6
0.1,15,53.36121,3,Vero E6
0.1,16,55.16245,3,Vero E6
0.1,17,58.4641,3,Vero E6
0.1,18,60.02896,3,Vero E6
0.1,19,63.16809,3,Vero E6
0.1,20,66.36182,3,Vero E6
0.1,21,69.70844,3,Vero E6
0.1,22,73.21162,3,Vero E6
0.1,23,79.51441,3,Vero E6
0.1,24,87.3075,3,Vero E6
0.1,25,93.96369,3,Vero E6
0.1,26,100.521,3,Vero E6
0.1,27,107.2048,3,Vero E6
0.1,28,115.4779,3,Vero E6
0.1,29,123.1805,3,Vero E6
0.1,30,130.1885,3,Vero E6
0.1,31,132.5528,3,Vero E6
0.1,32,136.3376,3,Vero E6
0.1,33,138.7437,3,Vero E6
0.1,34,136.6496,3,Vero E6
0.1,35,136.9646,3,Vero E6
0.1,36,138.1706,3,Vero E6
0.1,37,138.8882,3,Vero E6
0.1,38,142.1188,3,Vero E6
0.1,39,142.0048,3,Vero E6
0.1,40,145.3898,3,Vero E6
0.1,41,152.6559,3,Vero E6
0.1,42,158.8929,3,Vero E6
0.1,43,165.1317,3,Vero E6
0.1,44,170.2223,3,Vero E6
0.1,45,180.2501,3,Vero E6
0.1,46,191.5498,3,Vero E6
0.1,47,201.577,3,Vero E6
0.1,48,212.3931,3,Vero E6
0.5,0,0,1,Vero E6
0.5,1,0,1,Vero E6
0.5,2,0,1,Vero E6
0.5,3,0.1907379,1,Vero E6
0.5,4,10.89768,1,Vero E6
0.5,5,35.06572,1,Vero E6
